"Ár";"Vörutegund";"Alls Einingar";"Alls Tonn";"Alls CIF í milljónum króna"
"2005";"10, 11  Kornvörur til manneldis";0;24458;617
"2005";"10, 11, 23  Fóðurvörur";0;74509;1322
"2005";"17  Strásykur, molasykur";0;10241;239
"2005";"17, 18  Sælgæti";0;2467;870
"2005";"19  Kex, kökur, brauðvörur";0;5373;1166
"2005";"24  Vindlingar";0;349;851
"2005";"24  Annað tóbak";0;36;147
"2005";"25  Salt (almennt)";0;104567;435
"2005";"28  Súrál";0;434801;6936
"2005";"27  Kol";0;116957;1197
"2005";"27  Koks";0;33362;467
"2005";"27  Flugvélabensín";0;855;52
"2005";"27  Annað bensín";0;163312;5688
"2005";"27  Þotueldsneyti";0;139357;5072
"2005";"27  Gasolía";0;418195;14015
"2005";"27  Brennsluolía";0;62897;1183
"2005";"27  Smurolía, smurfeiti";0;6086;690
"2005";"40  Hjólbarðar nýir";0;5162;1797
"2005";"40  Hjólbarðar notaðir";0;636;124
"2005";"44  Timbur";114746;64349;2346
"2005";"44  Krossviður";9022;6250;532
"2005";"44  Spóna­, byggingarplötur";0;17631;684
"2005";"48  Dagblaðapappír";0;15477;700
"2005";"48  Prent­ og skrifpappír";0;3232;276
"2005";"48  Kraftpappír, ­pappi";0;3565;135
"2005";"49  Bækur, blöð, tímarit";0;1147;963
"2005";"33  Ilmvötn og snyrtivörur";0;1949;1983
"2005";"51  Ull";0;74;19
"2005";"57  Gólfteppi";0;668;229
"2005";"56  Fiskinet";0;637;332
"2005";"70  Rúðugler";0;4085;238
"2005";"72  Steypustyrktarjárn";0;47444;1605
"2005";"72  Þakjárn";0;23;5
"2005";"73  Miðstöðvarofnar";0;1116;225
"2005";"84  Kæli­ og frystitæki til heimilis";28071;1253;590
"2005";"84  Þvottavélar";18610;1066;472
"2005";"85  Sjónvarpstæki";31753;746;926
"2005";"85  Hljóðvarpstæki";78102;187;279
"2005";"87  Hjóladráttarvélar";355;1676;1120
"2005";"87  Almenningsbílar";184;1250;1149
"2005";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";22456;34375;27186
"2005";"87  Vöru- og sendibílar";3563;9480;6588
"2005";"87  Aðrir bílar";473;216;249
"2005";"87  Fjórhjól";408;134;116
"2005";"84, 87  Bílavarahlutir";0;1976;2348
"2005";"88  Flugvélar";36;953;9705
"2005";"89  Farskip, ferjur";3;2248;92
"2005";"89  Fiskiskip";9;7346;2388
"2005";"89  Önnur skip";4;130;93
"2006";"07  Kartöflur";0;1848;116
"2006";"07  Grænmeti";0;10583;1598
"2006";"08  Ávextir";0;20448;2573
"2006";"20  Ávextir niðursoðnir";0;1527;259
"2006";"09  Kaffi";0;2225;724
"2006";"10, 11  Kornvörur til manneldis";0;24523;691
"2006";"10, 11, 23  Fóðurvörur";0;74749;1601
"2006";"17  Strásykur, molasykur";0;9257;334
"2006";"17, 18  Sælgæti";0;2446;1026
"2006";"19  Kex, kökur, brauðvörur";0;5457;1389
"2006";"24  Vindlingar";0;349;1026
"2006";"24  Annað tóbak";0;33;125
"2006";"25  Salt (almennt)";0;95638;422
"2006";"28  Súrál";0;663691;15882
"2006";"27  Kol";0;91551;1004
"2006";"27  Koks";0;26027;379
"2006";"27  Flugvélabensín";0;705;44
"2006";"27  Annað bensín";0;165305;7530
"2006";"27  Þotueldsneyti";0;166525;7703
"2006";"27  Gasolía";0;385994;16451
"2006";"27  Brennsluolía";0;71658;1959
"2006";"27  Smurolía, smurfeiti";0;6120;956
"2006";"40  Hjólbarðar nýir";0;4681;1882
"2006";"40  Hjólbarðar notaðir";0;566;127
"2006";"44  Timbur";97348;58696;2650
"2006";"44  Krossviður";10642;6978;662
"2006";"44  Spóna­, byggingarplötur";0;15955;748
"2006";"48  Dagblaðapappír";0;18097;939
"2006";"48  Prent­ og skrifpappír";0;3495;317
"2006";"48  Kraftpappír, ­pappi";0;3973;180
"2006";"49  Bækur, blöð, tímarit";0;1706;1276
"2006";"33  Ilmvötn og snyrtivörur";0;2018;2357
"2006";"51  Ull";0;115;33
"2006";"57  Gólfteppi";0;797;327
"2006";"56  Fiskinet";0;459;275
"2006";"70  Rúðugler";0;4347;324
"2006";"72  Steypustyrktarjárn";0;52602;2211
"2006";"72  Þakjárn";0;24;59
"2006";"73  Miðstöðvarofnar";0;1016;230
"2006";"84  Kæli­ og frystitæki til heimilis";22611;1159;606
"2006";"84  Þvottavélar";18903;1161;524
"2006";"85  Sjónvarpstæki";33865;757;1579
"2006";"85  Hljóðvarpstæki";60676;168;306
"2006";"87  Hjóladráttarvélar";362;1694;1320
"2006";"87  Almenningsbílar";106;716;787
"2006";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";19918;30208;26821
"2006";"87  Vöru- og sendibílar";3433;9481;7216
"2006";"87  Aðrir bílar";421;135;240
"2006";"87  Fjórhjól";789;189;213
"2006";"84, 87  Bílavarahlutir";0;1915;2733
"2006";"88  Flugvélar";40;2025;43824
"2006";"89  Farskip, ferjur";3;912;215
"2006";"89  Fiskiskip";4;5893;2642
"2006";"89  Önnur skip";2;74;263
"2007";"07  Kartöflur";0;1796;104
"2007";"07  Grænmeti";0;11322;1753
