"Vöruflokkar";"1999 Tonn";"1999 Cif verð milljónir króna";"1999 Hlutfall af heild";"2000 Tonn";"2000 Cif verð milljónir króna";"2000 Hlutfall af heild";"2001 Tonn";"2001 Cif verð milljónir króna";"2001 Hlutfall af heild";"2002 Tonn";"2002 Cif verð milljónir króna";"2002 Hlutfall af heild";"2003 Tonn";"2003 Cif verð milljónir króna";"2003 Hlutfall af heild";"2004 Tonn";"2004 Cif verð milljónir króna";"2004 Hlutfall af heild";"2005 Tonn";"2005 Cif verð milljónir króna";"2005 Hlutfall af heild";"2006 Tonn";"2006 Cif verð milljónir króna";"2006 Hlutfall af heild";"2007 Tonn";"2007 Cif verð milljónir króna";"2007 Hlutfall af heild";"2008 Tonn";"2008 Cif verð milljónir króna";"2008 Hlutfall af heild";"2009 Tonn";"2009 Cif verð milljónir króna";"2009 Hlutfall af heild";"2010 Tonn";"2010 Cif verð milljónir króna";"2010 Hlutfall af heild";"2011 Tonn";"2011 Cif verð milljónir króna";"2011 Hlutfall af heild";"2012 Tonn";"2012 Cif verð milljónir króna";"2012 Hlutfall af heild";"2013 Tonn";"2013 Cif verð milljónir króna";"2013 Hlutfall af heild";"2014 Tonn";"2014 Cif verð milljónir króna";"2014 Hlutfall af heild"
"034 Fiskur, nýr, kældur eða frystur";86042.4;2137.5;1.2;7189.8;916.6;0.5;5716.7;697.8;0.3;9358.7;1184.8;0.6;7988.0;572.3;0.3;4777.0;547.5;0.2;14399.1;730.1;0.2;9098.2;982.4;0.2;11571.8;1186.2;0.3;17250.0;2113.0;0.4;7633.9;1590.9;0.4;16525.5;2352.6;0.5;15978.2;3590.8;0.6;9169.4;2472.1;0.4;8780.8;2548.5;0.4;33722.5;3600.4;0.6
"035 Fiskur, verkaður á annan hátt";665.5;130.1;0.1;305.2;93.4;0.0;117.2;55.6;0.0;340.4;147.5;0.1;212.8;51.5;0.0;160.2;111.7;0.0;216.8;85.7;0.0;197.1;71.3;0.0;384.9;148.0;0.0;185.4;108.5;0.0;222.8;154.5;0.0;161.8;110.4;0.0;183.2;44.1;0.0;144.0;62.2;0.0;3.3;5.9;0.0;5.1;6.1;0.0
"036 Skelfiskur og lindýr";31350.4;3434.4;1.9;36689.6;3948.4;1.9;40926.5;4410.6;2.0;51179.6;5095.0;2.5;44299.2;4345.9;2.0;53808.2;5811.3;2.2;47062.3;4262.2;1.4;39285.7;4038.5;0.9;36909.8;4344.0;1.0;33187.6;4930.9;1.0;28228.9;6164.8;1.4;32958.7;7640.2;1.6;24263.8;7446.7;1.3;19011.9;6469.0;1.1;14494.1;4880.8;0.8;19392.9;7482.0;1.2
"037 Niðursoðnar/-lagðar sjávarafurðir";324.8;98.8;0.1;378.4;103.0;0.1;363.8;116.0;0.1;423.1;140.6;0.1;408.8;134.4;0.1;385.7;120.7;0.0;434.8;129.0;0.0;583.0;188.0;0.0;562.4;191.0;0.0;509.0;250.7;0.0;425.2;293.8;0.1;476.1;317.5;0.1;464.0;332.7;0.1;447.0;396.8;0.1;593.3;461.2;0.1;525.8;411.9;0.1
"041 Hveiti, ómalað";11138.7;123.0;0.1;15715.9;176.7;0.1;22783.0;321.3;0.1;24922.9;337.0;0.2;31781.8;406.0;0.2;27581.5;411.9;0.2;29395.5;353.5;0.1;32979.4;467.5;0.1;36305.0;707.9;0.2;34895.3;1132.3;0.2;38129.6;1070.7;0.2;36459.1;1099.2;0.2;36139.4;1521.1;0.3;38632.5;1658.7;0.3;38491.2;1615.6;0.3;35072.7;1212.3;0.2
"042 Rís";845.1;67.4;0.0;903.6;81.8;0.0;1003.3;103.7;0.0;1122.3;107.2;0.1;1157.9;102.4;0.0;1202.7;107.8;0.0;1295.4;102.6;0.0;1264.8;109.5;0.0;1357.6;127.8;0.0;1465.3;231.5;0.0;1237.5;259.7;0.1;1414.0;291.6;0.1;1349.7;293.8;0.1;1294.2;297.3;0.0;1430.8;314.5;0.1;1421.9;307.7;0.0
"043 Bygg, ómalað";17560.2;173.3;0.1;15020.9;159.7;0.1;15328.1;211.4;0.1;14224.0;187.2;0.1;14127.2;177.9;0.1;12425.3;183.8;0.1;13769.1;170.5;0.1;11925.6;187.4;0.0;12239.0;253.0;0.1;12517.4;392.3;0.1;10066.5;307.2;0.1;9663.3;327.7;0.1;9197.2;411.2;0.1;8821.7;412.7;0.1;9720.8;430.2;0.1;12719.2;463.1;0.1
"044 Maís, ómalaður";18677.3;185.2;0.1;20081.4;207.3;0.1;17625.8;232.9;0.1;14508.4;191.7;0.1;21246.7;247.8;0.1;22002.1;292.5;0.1;21876.6;239.7;0.1;20168.8;286.7;0.1;31844.5;565.7;0.1;21736.5;578.4;0.1;20546.3;586.6;0.1;14937.3;466.7;0.1;20098.9;864.8;0.2;14231.6;623.5;0.1;16100.3;704.9;0.1;18145.9;628.7;0.1
"045 Annað ómalað korn";239.0;3.6;0.0;281.2;5.5;0.0;97.8;7.5;0.0;502.5;7.2;0.0;146.4;5.0;0.0;131.2;4.3;0.0;65.6;3.1;0.0;124.8;4.8;0.0;185.9;8.0;0.0;567.3;22.5;0.0;73.7;8.3;0.0;85.6;9.8;0.0;236.3;23.2;0.0;89.6;12.8;0.0;454.5;36.8;0.0;880.1;41.2;0.0
"046 Hveitimjöl";7725.9;179.2;0.1;8694.2;210.1;0.1;7816.7;223.8;0.1;6384.4;184.7;0.1;3655.2;108.3;0.1;3464.7;121.7;0.0;3123.7;110.0;0.0;3436.6;137.4;0.0;4471.5;185.5;0.0;4005.9;318.1;0.1;3867.7;338.9;0.1;5523.3;372.8;0.1;4468.7;400.1;0.1;5297.7;435.4;0.1;4513.1;384.7;0.1;5419.8;398.8;0.1
"047 Annað kornmjöl";4499.8;56.1;0.0;2740.5;42.9;0.0;3745.8;69.3;0.0;7827.3;105.9;0.1;5607.4;86.8;0.0;2696.0;75.4;0.0;7193.0;92.9;0.0;4519.2;81.0;0.0;963.4;36.0;0.0;1127.7;63.9;0.0;1361.5;74.4;0.0;6260.2;228.3;0.0;1933.0;127.3;0.0;2082.1;142.0;0.0;2211.7;168.2;0.0;2569.8;160.4;0.0
"048 Vörur úr korni, mjöli og sterkju";10817.6;1718.1;0.9;10845.4;1830.8;0.9;11490.4;2295.2;1.0;11767.2;2358.6;1.1;12598.6;2429.7;1.1;13154.8;2591.3;1.0;14512.5;2579.5;0.8;15371.9;3039.3;0.7;16462.0;3365.5;0.8;15868.5;4630.6;0.9;14940.9;5467.2;1.2;15614.8;5148.7;1.1;15612.7;5555.7;1.0;16220.5;6216.7;1.0;16695.1;6422.5;1.1;17195.9;6323.2;1.0
"054 Grænmeti, nýtt, kælt eða fryst";6803.2;600.2;0.3;7526.4;628.5;0.3;7607.3;821.8;0.4;7867.3;948.3;0.5;9199.3;1000.8;0.5;9960.3;1269.5;0.5;10762.9;1284.1;0.4;12322.7;1642.1;0.4;14012.5;1793.4;0.4;13439.3;2157.6;0.4;12780.7;2227.2;0.5;13659.6;2484.6;0.5;13179.3;2454.6;0.4;15717.0;2865.8;0.5;14914.8;3044.5;0.5;17950.7;2991.9;0.5
"056 Grænmeti, varið skemmdum";5851.8;596.7;0.3;6024.3;601.7;0.3;6106.7;677.6;0.3;5648.5;634.4;0.3;6152.0;676.7;0.3;6170.0;676.5;0.3;6946.3;691.4;0.2;7336.1;928.1;0.2;7672.5;980.4;0.2;7456.0;1353.3;0.3;6708.3;1598.9;0.4;6604.0;1509.4;0.3;6795.5;1662.8;0.3;6998.9;1778.5;0.3;6744.5;1836.2;0.3;7384.0;1898.0;0.3
